title; aliases; description; tags; contact; picture; reference
Isaac Newton; ; ; ; ; Untitled; ./Isaac%20Newton.md
Aristotle; ; ; philosophy, NaturalScienes, linguistics, economics, politics, psychology; ; Untitled; ./Aristotle.md
Karl Popper; ; ; ; ; Untitled; ./Karl%20Popper.md
Edmund Gettier; ; ; ; ; Untitled; ./Edmund%20Gettier.md
John Locke; ; ; ; ; Untitled; ./John%20Locke.md
Samir Okasha; ; ; philosophy; ; Untitled; ./Samir%20Okasha.md
Plato; ; ; philosophy; ; Untitled; ./Plato.md
Ludwig Wittgenstein; ; ; ; ; Untitled; ./Ludwig%20Wittgenstein.md
Socrates; ; ; philosophy, epistemology; ; Untitled; ./Socrates.md
Rene Descartes; ; ; philosophy, epistemology; ; Untitled; ./Rene%20Descartes.md
